Table 1
Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Player-additional
1,De'Aaron Fox,2023-01-18,25-029,SAC,@,LAL,W 116-111,1,39,13,23,0.565,11,16,0.688,2,7,0.286,3,7,0.429,0.594,0,3,3,6,1,0,2,0,31,22.6,4.1,G,foxde01
2,De'Aaron Fox,2023-01-15,25-026,SAC,@,SAS,W 132-119,1,37,11,21,0.524,10,17,0.588,1,4,0.250,0,0,,0.548,0,1,1,3,0,0,1,3,23,12.9,-8.3,G,foxde01
3,De'Aaron Fox,2023-01-13,25-024,SAC,,HOU,W 139-114,1,33,9,14,0.643,6,9,0.667,3,5,0.600,3,3,1.000,0.783,2,3,5,5,1,0,5,1,24,19.2,-1.2,G,foxde01
4,De'Aaron Fox,2023-01-11,25-022,SAC,,HOU,W 135-115,1,32,9,18,0.500,7,14,0.500,2,4,0.500,4,6,0.667,0.581,1,1,2,9,1,0,1,0,24,21.5,6.2,G,foxde01
5,De'Aaron Fox,2023-01-09,25-020,SAC,,ORL,W 136-111,1,29,5,14,0.357,4,7,0.571,1,7,0.143,0,0,,0.393,1,1,2,9,0,0,2,1,11,8.1,-7.6,G,foxde01
6,De'Aaron Fox,2023-01-07,25-018,SAC,,LAL,L 134-136,1,38,11,21,0.524,11,19,0.579,0,2,0.000,12,14,0.857,0.626,0,2,2,9,0,0,3,4,34,25.2,-0.4,G,foxde01
7,De'Aaron Fox,2023-01-04,25-015,SAC,,ATL,L 117-120,1,37,9,20,0.450,9,19,0.474,0,1,0.000,7,7,1.000,0.542,0,5,5,5,2,0,1,2,25,19.8,0.0,G,foxde01
8,De'Aaron Fox,2023-01-03,25-014,SAC,@,UTA,W 117-115,1,38,15,22,0.682,14,17,0.824,1,5,0.200,6,8,0.750,0.725,0,3,3,6,1,2,4,2,37,29.5,10.7,G,foxde01
9,De'Aaron Fox,2023-01-01,25-012,SAC,@,MEM,L 108-118,1,36,7,18,0.389,5,14,0.357,2,4,0.500,3,3,1.000,0.492,1,3,4,6,1,0,5,1,19,10.6,-3.6,G,foxde01
10,De'Aaron Fox,2022-12-30,25-010,SAC,,UTA,W 126-125,1,39,10,24,0.417,9,19,0.474,1,5,0.200,3,4,0.750,0.466,0,3,3,10,0,0,1,2,24,16.9,-3.6,G,foxde01
11,De'Aaron Fox,2022-12-28,25-008,SAC,,DEN,W 127-126,1,37,12,21,0.571,10,15,0.667,2,6,0.333,5,5,1.000,0.668,0,2,2,13,1,0,4,1,31,27.4,5.7,G,foxde01
12,De'Aaron Fox,2022-12-27,25-007,SAC,,DEN,L 106-113,1,31,10,16,0.625,7,11,0.636,3,5,0.600,3,5,0.600,0.714,0,1,1,4,0,0,5,1,26,15.7,2.2,G,foxde01
13,De'Aaron Fox,2022-12-23,25-003,SAC,,WAS,L 111-125,1,35,9,16,0.563,9,13,0.692,0,3,0.000,8,13,0.615,0.599,1,6,7,3,1,1,1,4,26,20.1,4.0,G,foxde01
14,De'Aaron Fox,2022-12-21,25-001,SAC,,LAL,W 134-120,1,30,7,13,0.538,7,10,0.700,0,3,0.000,8,9,0.889,0.649,0,4,4,6,0,0,2,4,22,17.1,0.0,G,foxde01
15,De'Aaron Fox,2022-12-19,24-364,SAC,,CHO,L 119-125,1,34,14,25,0.560,12,20,0.600,2,5,0.400,7,9,0.778,0.639,1,4,5,2,0,0,2,5,37,23.6,3.6,G,foxde01
16,De'Aaron Fox,2022-12-16,24-361,SAC,@,DET,W 122-113,1,39,9,19,0.474,9,14,0.643,0,5,0.000,6,9,0.667,0.523,0,5,5,9,1,0,3,4,24,17.3,-2.9,G,foxde01
17,De'Aaron Fox,2022-12-14,24-359,SAC,@,TOR,W 124-123,1,41,9,23,0.391,5,15,0.333,4,8,0.500,5,7,0.714,0.518,0,6,6,10,1,0,3,4,27,18.9,-0.1,G,foxde01
18,De'Aaron Fox,2022-12-13,24-358,SAC,@,PHI,L 103-123,1,29,5,15,0.333,4,8,0.500,1,7,0.143,2,4,0.500,0.388,0,4,4,1,1,0,3,2,13,2.8,-10.6,G,foxde01
19,De'Aaron Fox,2022-12-07,24-352,SAC,@,MIL,L 113-126,1,32,5,16,0.313,4,10,0.400,1,6,0.167,4,4,1.000,0.422,0,2,2,2,0,1,1,3,15,6.3,-9.6,G,foxde01
20,De'Aaron Fox,2022-12-04,24-349,SAC,,CHI,W 110-101,1,32,5,14,0.357,3,7,0.429,2,7,0.286,4,4,1.000,0.508,0,7,7,4,2,0,4,0,16,11.1,-2.0,G,foxde01
