Table 1
Rk,Player,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Nikola Jokić,8.9,2022-23,27,DEN,40,40,1336,378,603,343,509,35,94,208,255,81,358,439,392,57,24,138,110,999,0.627,0.674,0.372,0.816,0.698,0.656,C-F,jokicni01
2,Luka Dončić,7.4,2022-23,23,DAL,40,40,1497,454,912,341,590,113,322,330,452,38,320,358,353,64,24,146,117,1351,0.498,0.578,0.351,0.730,0.608,0.560,G-F,doncilu01
3,Domantas Sabonis,7.1,2022-23,26,SAC,41,41,1406,286,469,267,419,19,50,182,243,124,393,517,290,31,20,106,149,773,0.610,0.637,0.380,0.749,0.671,0.630,C-F,sabondo01
4,Jayson Tatum,6.5,2022-23,24,BOS,43,43,1582,438,929,296,526,142,403,319,368,47,308,355,184,44,34,112,91,1337,0.471,0.563,0.352,0.867,0.613,0.548,F,tatumja01
5,Shai Gilgeous-Alexander,6.4,2022-23,24,OKC,40,40,1426,405,805,366,693,39,112,377,415,32,164,196,220,67,44,125,107,1226,0.503,0.528,0.348,0.908,0.621,0.527,G,gilgesh01
6,Kevin Durant,6.3,2022-23,34,BRK,39,39,1403,410,734,339,545,71,189,267,286,14,248,262,207,32,57,136,92,1158,0.559,0.622,0.376,0.934,0.673,0.607,F-G,duranke01
7,Joel Embiid,5.9,2022-23,28,PHI,33,33,1150,370,690,333,585,37,105,333,390,58,265,323,140,34,55,122,109,1110,0.536,0.569,0.352,0.854,0.644,0.563,C,embiijo01
8,Lauri Markkanen,5.7,2022-23,25,UTA,42,42,1437,349,672,226,374,123,298,213,245,77,284,361,78,26,25,79,87,1034,0.519,0.604,0.413,0.869,0.663,0.611,F-C,markkla01
9,Donovan Mitchell,5.7,2022-23,26,CLE,40,40,1445,390,806,241,429,149,377,206,237,37,118,155,190,57,14,119,100,1135,0.484,0.562,0.395,0.869,0.623,0.576,G,mitchdo01
10,Jimmy Butler,5.5,2022-23,33,MIA,31,31,1067,226,442,206,380,20,62,213,250,68,129,197,160,64,12,55,41,685,0.511,0.542,0.323,0.852,0.620,0.534,F-G,butleji01
11,Tyrese Haliburton,5.5,2022-23,22,IND,40,40,1336,290,604,172,308,118,296,110,125,27,132,159,409,70,16,105,44,808,0.480,0.558,0.399,0.880,0.613,0.578,G,halibty01
12,Julius Randle,5.4,2022-23,28,NYK,45,45,1605,369,807,251,460,118,347,244,325,98,380,478,174,33,17,120,138,1100,0.457,0.546,0.340,0.751,0.579,0.530,F-C,randlju01
13,Jarrett Allen,5.3,2022-23,24,CLE,38,38,1258,213,338,213,331,0,7,103,142,117,256,373,66,30,45,53,83,529,0.630,0.644,0.000,0.725,0.660,0.630,C-F,allenja01
14,DeMar DeRozan,4.9,2022-23,33,CHI,41,41,1478,381,753,365,694,16,59,291,328,20,186,206,201,41,19,80,109,1069,0.506,0.526,0.271,0.887,0.596,0.517,G-F,derozde01
15,Damian Lillard,4.9,2022-23,32,POR,32,32,1139,287,631,160,284,127,347,237,264,18,106,124,227,27,10,101,62,938,0.455,0.563,0.366,0.898,0.628,0.555,G,lillada01
16,Jalen Brunson,4.8,2022-23,26,NYK,42,42,1428,339,721,265,533,74,188,188,221,26,129,155,265,39,8,90,97,940,0.470,0.497,0.394,0.851,0.574,0.521,G,brunsja01
